Timestamp,Score,First name,Last name,Age,Gender,Which option best describes your level of fitness/activity?,What are your main goals for using a fitness tracking app? (Can choose multiple),What kind of device or medium would you prefer to use to track your fitness?,What kind of training assistance would you like to see in a fitness app?,Do you have any physical or mental challenges that you would like help with from a fitness app?,"In a few words, what is your reason for this choice?",What would personally motivate you to use a fitness app more often?,Would you like a fitness app to track your sleeping patterns?,"If yes, how many hours of sleep do you get on average?",Would you like to see a rewards-based system in a fitness app and would it motivate you to use it more often?,"If yes, what type of reward would you like to see?","From a scale of 1-5, with 1 being least important and 5 being most important, how important is social networking to you for fitness apps?",What is your level of fitness/activity (either through your lifestyle or job requirements)?
2/15/2024 12:44:33,,,,18-24,Female,,Counting steps,Smartphone,how many steps left to lose weight ,"reminding you to drink water, or to go outside",easy to access,Good amount of features,"Yes, Maybe","5-8 hours, 9-12 hours",Yes,"Currency to spend on the app, to use for customisation or other perks",3,Slightly or not active/sedentary - less than 2x a week
2/15/2024 14:25:35,,,,25-34,Female,,Weight Loss,Smartphone,To stay on track with my diet.,No,Easy to track and access.,Ease of use,Yes,9-12 hours,No,,2,Slightly or not active/sedentary - less than 2x a week
2/15/2024 16:34:24,,,,18-24,Female,,Tracking calories,Watch,Bespoke fitness plans,Yes - overcoming anxiety to work out infront of others and building self confidence ,Accessible and easier,Good amount of features,No,9-12 hours,Yes,"Currency to spend on the app, to use for customisation or other perks",2,Moderately active - 2-4x a week
2/15/2024 20:00:38,,,,18-24,Female,,Building muscle,Smartphone,no ads,positive reminds,need a fat ass,Good amount of features,No,5-8 hours,Yes,Medals to celebrate milestones,3,Moderately active - 2-4x a week
2/15/2024 20:01:56,,,,18-24,Female,,Weight Loss,Smartphone,Support ,No,More accessible,Ease of use,Yes,"5-8 hours, 9-12 hours",Yes,"Currency to spend on the app, to use for customisation or other perks",3,Slightly or not active/sedentary - less than 2x a week
2/15/2024 20:05:59,,,,25-34,Male,,Building muscle,Smartphone,Nutritional advice,Tips on gaining and losing weight,Khadija ,Good user interface,Maybe,0-4 hours,Yes,Medals to celebrate milestones,1,Slightly or not active/sedentary - less than 2x a week
2/15/2024 20:09:13,,,,18-24,Male,,Tracking calories,Smartphone,Live chat ,No,Easily accessible ,Ease of use,Yes,"5-8 hours, 9-12 hours",Yes,"Currency to spend on the app, to use for customisation or other perks",4,Very active - 5x a week or more
2/15/2024 21:07:44,,,,18-24,Female,,Weight Loss,Smartphone,Ways to lose weight. Best exercises for muscle gain or weight loss.,No,Easier to see details. ,Good amount of features,No,5-8 hours,Yes,"Currency to spend on the app, to use for customisation or other perks",2,Slightly or not active/sedentary - less than 2x a week
2/16/2024 0:44:05,,,,18-24,Female,,Tracking calories,Smartphone,macro nutrient counter ,no,ease of use ,Ease of use,Yes,5-8 hours,Yes,"Currency to spend on the app, to use for customisation or other perks",4,Moderately active - 2-4x a week
2/16/2024 3:18:57,,,,25-34,Female,,Counting steps,Smartphone,PCOS,Mental help,It’s what ivuse,Good user interface,Yes,12+ hours,Yes,"Currency to spend on the app, to use for customisation or other perks",1,Slightly or not active/sedentary - less than 2x a week
